"statsbomb_id","wyscout_id"
3925227,5551642
3925226,5551641
3925228,5551644
3925230,5551643
3925232,5551646
3925233,5551645
3925231,5551647
3925229,5551648
3925235,5551649
3925234,5551650
3925236,5551652
3925237,5551651
3925244,5551654
3925240,5551653
3925242,5551659
3925241,5551658
3925243,5551657
3925238,5551655
3925239,5551656
3925245,5551660
3925250,5551664
3925254,5551668
3925249,5551663
3925247,5551661
3925252,5551666
3925253,5551667
3925246,5551669
3925251,5551665
3925255,5551670
3925259,5551673
3925262,5551676
3925260,5551674
3925258,5551672
3925257,5551671
3925261,5551675
3925256,5551677
3925263,5551679
3925265,5551678
3925264,5551680
3925266,5551681
3925271,5551685
3925270,5551683
3925269,5551682
3925267,5551690
3925268,5551689
3925273,5551686
3925275,5551688
3925274,5551687
3925272,5551684
3925279,5551698
3925281,5551696
3925283,5551693
3925285,5551691
3925280,5551697
3925282,5551695
3925276,5551692
3925278,5551699
3925284,5551694
3925277,5551700
3925286,5551701
3925295,5551709
3925289,5551703
3925294,5551708
3925290,5551704
3925288,5551702
3925291,5551705
3925292,5551706
3925287,5551710
3925293,5551707
3925248,5551662
3925296,5551711
3925298,5551714
3925304,5551716
3925303,5551718
3925297,5551713
3925299,5551715
3925301,5551717
3925300,5551719
3925302,5551712
3925305,5551720
3925313,5551728
3925310,5551725
3925312,5551727
3925308,5551723
3925307,5551721
3925311,5551726
3925309,5551724
3925315,5551729
3925314,5551730
3925316,5551734
3925318,5551732
3925319,5551733
3925317,5551735
3925320,5551731
3925324,5551736
3925321,5551739
3925322,5551740
3925325,5551738
3925323,5551737
3925331,5551747
3925334,5551750
3925335,5551742
3925330,5551746
3925326,5551741
3925333,5551749
3925329,5551745
3925328,5551744
3925332,5551748
3925327,5551743
3925342,5551755
3925341,5551756
3925344,5551753
3925343,5551754
3925339,5551758
3925340,5551757
3925338,5551759
3925337,5551760
3925345,5551751
3925336,5551752
3925347,5551766
3925352,5551767
3925349,5551763
3925353,5551768
3925348,5551762
3925350,5551764
3925351,5551765
3925354,5551769
3925355,5551770
3925363,5551773
3925365,5551771
3925359,5551777
3925358,5551778
3925361,5551775
3925360,5551776
3925356,5551780
3925362,5551774
3925364,5551772
3925357,5551779
3925366,5551781
3925367,5551782
3925369,5551785
3925370,5551786
3925373,5551784
3925371,5551787
3925368,5551790
3925375,5551789
3925372,5551788
3925374,5551783
3925379,5551791
