"statsbomb_id","wyscout_id"
3175,37896
3530,94695
3743,301059
5679,94831
5682,94814
5684,14816
5690,20517
5693,94828
5694,95010
5697,94650
6191,14730
6337,94764
6339,14749
7851,709
8119,94884
8127,134133
8481,146276
9972,138080
11193,137670
11220,48922
12053,144405
15366,365445
15695,299282
16296,136542
16352,120911
16439,14894
16791,8060
20521,25412
20717,365864
21793,373411
23222,252473
23305,230170
23469,41125
23498,135923
23518,400297
23919,256590
24015,137661
24336,257942
24360,253836
24471,56631
24480,299271
24853,331895
25120,253260
25153,528833
25182,511760
25194,361584
25289,40839
25290,362493
25310,363816
25357,296157
25402,258574
26735,107539
26811,561768
26921,263095
28938,576510
29924,370748
30011,299292
31111,365827
31319,491340
31490,128270
31569,514677
32292,401578
32574,252295
32751,128607
32874,421868
33446,368719
33492,144239
33577,524970
35701,365843
37112,14793
37113,94772
37115,299313
37121,288848
37122,578391
37123,287789
37127,215411
37130,145366
37132,145361
37133,542161
37135,419009
37136,95111
37142,299275
37194,94922
37195,561895
37199,107451
37201,418997
37202,94928
37203,94921
37204,566176
37207,165445
37210,48829
37213,254666
37218,560950
37219,43494
37220,299278
37223,365866
37227,137715
37228,95477
37238,94704
37239,145394
37240,254716
37242,94830
37243,299308
37244,478528
37245,499639
37246,287788
37247,560932
37254,437322
37256,137657
37257,94633
37259,94963
37262,94646
37263,94697
37269,494197
37270,95449
37294,480624
37299,299286
37300,494350
37301,137664
37302,144294
37308,94751
37311,654655
37316,607429
37319,499650
37320,390731
37325,566173
37486,95108
37488,603425
37489,94993
37490,137665
37491,365819
37492,369728
37493,418982
37495,94718
37496,170296
37497,95001
37504,560928
37505,95238
37506,254621
37512,299320
37513,95611
37514,419865
37515,527305
37516,44445
37642,95551
37646,95546
37649,251151
37650,299324
37651,437639
37652,137672
37653,365862
37655,269986
37656,365887
37658,254652
37660,95492
37662,427812
37665,419832
37672,534326
37673,612083
37674,94687
37790,333662
37791,494199
37797,418995
37798,418989
37803,374528
37805,656453
37806,614216
37808,599064
37812,94839
37814,365834
37819,494208
38261,299318
38262,578392
38264,486833
38265,418996
38266,499644
38269,600953
38270,658024
38271,599062
38272,494211
38273,215419
38275,285514
38276,254646
38277,95268
38278,603322
38279,494002
38280,94818
38281,145415
38282,494578
38283,94969
38284,46866
38286,418987
38288,658026
38289,145397
38523,94987
38524,95000
38527,493181
38535,299290
38536,299280
38539,95593
38540,95004
38543,264505
38545,419868
38546,145426
38547,419812
40550,478754
40654,492021
40812,108223
40832,299353
41144,403547
41155,349688
41305,54494
41711,438504
41946,513251
41947,602213
42100,137663
42105,598119
42137,365937
42139,620598
42141,677340
42142,289714
42144,94910
42145,299270
42146,94644
42147,95529
42148,419870
42153,95297
42154,94859
42155,657907
42156,95507
42157,598052
42220,658465
42221,299314
42223,499649
42231,534330
42232,95209
42233,95580
42237,95545
42288,518047
42292,419818
42294,507639
42370,564041
42400,299298
42443,419825
42456,607433
42457,644710
42532,419006
42547,145401
42548,494385
42551,94959
42594,145388
42737,638234
42849,598049
42865,95542
42888,418973
42956,145469
43005,608763
43006,638270
43050,560919
43051,416959
43052,137658
43053,599063
43069,494192
43071,433845
43102,254647
43173,494156
43493,436031
43571,609253
43598,299295
43733,676886
43767,594421
43970,377628
44356,656519
44576,416620
44595,656480
44596,658025
44618,680609
45451,95475
45876,369746
45933,489828
45934,645412
46161,414341
46471,684243
46473,418991
46707,645545
46708,494171
47062,566174
47524,390732
48063,489814
48309,373480
48868,489061
48923,95625
49466,690598
49586,406930
50187,257185
51133,95324
52310,568848
61198,659543
61878,95113
70543,645526
70672,658566
76410,598595
88157,529535
93108,727061
93109,727077
93110,658702
93989,419823
93994,658710
94002,561882
94004,397797
94017,730771
94158,285510
94161,137656
94162,494212
94164,293
94170,254774
94171,513244
94173,645334
94174,254714
94177,507223
94182,645366
94186,599055
94937,645370
95030,365813
95033,561147
95176,419815
95181,299321
95182,95364
95183,372482
95185,418984
95187,145364
95190,254631
95265,494346
95275,299267
95281,137668
95282,94798
95285,43027
95286,165441
95292,676885
95296,412160
95297,94743
95366,602175
95367,285529
95369,726976
95373,602172
95376,299319
95381,645466
95391,602183
95878,658718
95880,213278
95883,513069
95888,527304
95893,727058
95898,94835
95901,95018
95906,658751
95907,256592
95912,499652
95917,95502
95922,419808
95930,94714
95932,494190
95933,501250
95939,645439
95942,561146
95944,95531
95948,503834
95951,419872
95954,602161
95956,365898
95957,365823
95965,561129
95966,527935
95975,614583
95992,659176
95995,492588
96073,611074
96074,299303
96159,137654
96165,494375
96176,561667
96185,702574
96187,419000
96570,349679
96770,560494
96786,560934
97331,299289
97336,730725
97354,365902
97644,561142
97645,419831
97647,95135
97648,645415
97649,419841
97650,365852
97652,494194
97654,494222
97924,294861
97926,658480
97928,419834
97931,558404
97932,95181
97935,299328
97937,419866
97938,418993
98084,136360
98085,560941
98221,602154
98258,599059
98340,730467
98848,345673
99038,654668
99772,285522
99944,676079
100015,602138
100086,365851
100164,215429
100165,365853
100210,564825
100359,588927
100366,95262
100435,645446
100437,601317
100444,658719
100717,658750
100783,638271
100788,409893
100789,95029
100827,494159
100829,599069
102241,494191
102421,678897
102428,658707
104859,730588
105815,727215
106593,94863
107909,586388
108194,561135
108195,730514
110806,727210
111455,254756
112933,727064
115073,285822
116141,48257
119562,654813
119964,494160
120252,645388
122890,420065
122897,296075
122911,676025
122912,598032
124098,122412
124242,478522
124327,638230
124862,385564
124865,589606
126709,358618
126935,730479
126936,730480
127197,752148
127408,609266
127952,658711
130596,94731
130625,677015
132379,488259
132966,645513
132970,690600
133719,765332
135119,600778
145420,784569
146893,374785
147826,560929
151705,733097
160938,49906
167747,606989
168650,798358
177905,800201
189090,355683
201767,789009
202733,810046
202734,809505
202735,811502
202844,646437
202944,810066
202946,810078
202947,810076
202949,676942
203520,676945
203522,734069
203528,676943
203530,810135
203599,513245
203600,810005
204010,810083
204708,810105
206005,810106
206368,419806
206741,809978
207111,494345
208850,672092
209339,735117
209939,809999
212556,810092
212591,944965
213597,810000
213697,808155
214548,658752
220862,742783
221546,810126
221646,812430
227295,810118
227296,810134
228892,809976
231939,558320
232843,688423
234143,574999
237486,363996
238885,751774
242068,727217
248453,730484
261222,810109
268580,494134
271472,627545
271933,661776
274663,810039
274698,646429
275987,810002
278920,646447
288313,730462
288379,808176
302486,850731
308422,579710
338435,810007
346661,809980
356667,824162
377952,845168
378169,896333
379685,657508
379894,898155
380068,494201
380104,564824
381353,814234
381358,814256
381361,814242
381369,752512
381374,645408
385707,871384
386237,900133
386897,900111
387235,645530
388410,647459
388455,819156
389352,900115
390354,922447
390962,541717
391288,838058
391902,900099
391968,855407
391977,925147
394465,924418
395292,928464
396525,881430
398615,900123
399911,734231
400801,892878
401165,918858
404652,489658
404993,900085
405612,906415
406126,896339
406397,557350
406411,677038
406733,900089
407914,896334
408574,937672
409457,671176
412401,808135
416497,910142
416499,1049482
416506,941786
416511,1026213
416512,1026216
425510,1045964
426518,654814
426519,1049523
426520,1028873
426611,1049476
426632,937673
426715,645536
426935,1049500
426941,937675
426942,939325
427234,1045975
427414,896340
427451,906374
427936,95534
428095,900095
428177,645546
428832,881417
429774,608759
429810,558712
429811,900088
430189,1049561
430190,1049557
430450,1045950
430540,939327
430675,900110
430676,900058
430761,560930
430859,372773
431036,881426
431065,855416
431066,881421
431067,883090
431074,789015
